grip requested,grip performed,grip timing
1,1,-358.0
1,1,-244.0
1,1,-164.0
2,0,nan
1,1,-254.0
2,2,-316.0
1,1,-276.0
2,0,nan
2,2,-332.0
1,1,-190.0
1,1,-286.0
1,1,-212.0
2,2,-240.0
2,2,-30.0
1,1,-160.0
1,1,-52.0
2,2,-12.0
2,2,-108.0
3,0,nan
2,2,177.0
1,1,-89.0
3,0,nan
2,0,nan
1,1,-133.0
1,1,-121.0
2,2,-109.0
2,2,-137.0
2,2,-165.0
1,1,-159.0
1,1,-255.0
1,0,nan
1,1,-95.0
2,2,-327.0
1,0,nan
2,2,-77.0
1,1,-207.0
2,2,-133.0
2,2,-161.0
1,1,-223.0
1,1,-149.0
2,2,129.0
1,1,-137.0
1,1,-63.0
