grip requested,grip performed,grip timing
1,1,-121.0
1,1,27.0
1,1,-63.0
2,0,nan
1,1,-119.0
2,0,nan
1,1,-39.0
2,0,nan
2,0,nan
1,1,-157.0
1,1,-83.0
1,1,-179.0
2,2,-105.0
2,2,-99.0
1,1,-25.0
1,1,-120.0
2,0,nan
2,2,-5.0
3,0,nan
2,2,109.0
1,1,-123.0
3,0,nan
2,2,-71.0
1,1,-31.0
1,1,-155.0
2,0,nan
2,2,-103.0
2,2,-97.0
1,1,-91.0
1,1,-119.0
1,1,-73.0
1,1,-129.0
2,0,nan
1,1,-83.0
2,2,-77.0
1,1,-105.0
2,0,nan
2,2,-58.0
1,1,-188.0
1,1,-148.0
2,0,nan
1,1,-102.0
1,1,-62.0
