grip requested,grip performed,grip timing
1,1,-77.0
1,1,-65.0
1,1,-155.0
2,0,nan
1,1,-109.0
2,2,101.0
1,1,5.0
2,0,nan
2,2,-51.0
1,1,-147.0
1,1,-107.0
1,1,-271.0
2,0,nan
2,2,-191.0
1,1,-151.0
1,1,-145.0
2,0,nan
2,0,nan
3,0,nan
2,0,nan
1,1,-149.0
3,0,nan
2,1,6.0
1,1,-158.0
1,1,-112.0
2,0,nan
2,2,-59.0
2,2,15.0
1,1,-149.0
1,1,-211.0
1,1,-97.0
1,1,-119.0
2,0,nan
1,1,-175.0
2,2,-169.0
1,1,-163.0
2,2,-55.0
2,2,-185.0
1,1,-179.0
1,1,-173.0
2,0,nan
1,1,-195.0
1,1,-223.0
