grip requested,grip performed,grip timing
1,1,-56.0
1,1,-112.0
1,1,-66.0
2,2,-128.0
1,1,-54.0
2,2,-47.0
1,1,-109.0
2,0,nan
2,0,nan
1,1,-57.0
1,1,-85.0
1,1,-147.0
2,2,-107.0
2,2,-169.0
1,1,-95.0
1,1,-89.0
2,2,-83.0
2,2,-77.0
3,0,nan
2,2,-65.0
1,1,-93.0
3,0,nan
2,0,nan
1,1,-103.0
1,1,-159.0
2,2,-113.0
2,2,-141.0
2,2,-33.0
1,1,-95.0
1,1,-157.0
1,1,-77.0
1,1,-99.0
2,0,nan
1,1,-87.0
2,2,-81.0
1,1,-177.0
2,2,-35.0
2,2,-29.0
1,1,-125.0
1,1,-255.0
2,2,-45.0
1,1,-73.0
1,1,-67.0
