grip requested,grip performed,grip timing
1,1,-14.0
1,1,-70.0
1,1,-125.0
2,2,-153.0
1,1,-79.0
2,2,-175.0
1,1,-101.0
2,2,-27.0
2,0,nan
1,1,-83.0
1,1,-111.0
1,1,-104.0
2,2,-132.0
2,2,-126.0
1,1,-120.0
1,1,-80.0
2,2,-142.0
2,2,-102.0
3,2,-62.0
2,2,-56.0
1,1,-118.0
3,3,-71.0
2,2,-167.0
1,1,-127.0
1,1,-115.0
2,2,-102.0
2,2,6.0
2,0,nan
1,1,-50.0
1,1,-78.0
1,1,-32.0
1,1,-87.0
2,2,-183.0
1,1,-75.0
2,2,-69.0
1,1,-97.0
2,2,-158.0
2,0,nan
1,1,-78.0
1,1,-140.0
2,2,-134.0
1,1,-128.0
1,1,-54.0
