grip requested,grip performed,grip timing
1,1,-39.0
1,1,-61.0
1,1,-83.0
2,0,nan
1,1,-104.0
2,2,-166.0
1,1,-160.0
2,2,-120.0
2,2,-114.0
1,1,-74.0
1,1,-34.0
1,1,-96.0
2,2,-157.0
2,2,-15.0
1,1,-77.0
1,0,nan
2,2,-65.0
2,2,-93.0
3,2,-53.0
2,2,-149.0
1,1,-41.0
3,0,nan
2,2,-57.0
1,1,51.0
1,0,nan
2,2,-161.0
2,2,-53.0
2,2,-115.0
1,1,-109.0
1,1,-69.0
1,1,-91.0
1,0,nan
2,2,-107.0
1,1,-67.0
2,2,-129.0
1,0,nan
2,2,-151.0
2,2,-145.0
1,1,-105.0
1,1,-65.0
2,2,-127.0
1,1,-87.0
1,1,-47.0
