grip requested,grip performed,grip timing
1,1,-91.0
1,1,-147.0
1,1,-67.0
2,0,nan
1,1,-89.0
2,2,87.0
1,1,-213.0
2,2,-71.0
2,2,-133.0
1,1,-93.0
1,1,-121.0
1,1,-81.0
2,0,nan
2,2,-69.0
1,1,-165.0
1,1,-125.0
2,0,nan
2,0,nan
3,0,nan
2,0,nan
1,1,-264.0
3,0,nan
2,0,nan
1,1,-33.0
1,1,-123.0
2,0,nan
2,2,169.0
2,2,-199.0
1,1,-125.0
1,1,-153.0
1,1,30.0
1,1,-128.0
2,0,nan
1,1,-150.0
2,0,nan
1,1,-36.0
2,2,-129.0
2,2,-225.0
1,1,-185.0
1,1,-109.0
2,2,68.0
1,1,-96.0
1,1,-124.0
