grip requested,grip performed,grip timing
1,1,-117.0
1,1,-173.0
1,1,-194.0
2,2,-256.0
1,1,22.0
2,0,nan
1,1,-136.0
2,2,-96.0
2,2,-158.0
1,1,-152.0
1,1,-146.0
1,1,-140.0
2,2,-134.0
2,2,-230.0
1,1,-190.0
1,1,-116.0
2,2,128.0
2,2,-2.0
3,0,nan
2,2,-160.0
1,1,16.0
3,0,nan
2,2,-34.0
1,1,-198.0
1,1,-118.0
2,2,-139.0
2,2,-167.0
2,2,-93.0
1,1,-223.0
1,1,-217.0
1,1,-103.0
1,1,-227.0
2,2,-50.0
1,1,-145.0
2,2,-37.0
1,1,-133.0
2,2,-59.0
2,2,-257.0
1,1,-149.0
1,1,-245.0
2,2,-35.0
1,1,-199.0
1,1,-158.0
