grip requested,grip performed,grip timing
1,1,-159.0
1,1,-79.0
1,1,-33.0
2,0,nan
1,1,-21.0
2,0,nan
1,1,-77.0
2,0,nan
2,0,nan
1,1,-91.0
1,1,-17.0
1,1,-79.0
2,0,nan
2,0,nan
1,1,-95.0
1,1,-21.0
2,0,nan
2,0,nan
3,0,nan
2,0,nan
1,1,-25.0
3,0,nan
2,0,nan
1,1,-69.0
1,1,-23.0
2,0,nan
2,0,nan
2,0,nan
1,1,75.0
1,1,-55.0
1,1,-9.0
1,1,-30.0
2,0,nan
1,1,-52.0
2,0,nan
1,1,-40.0
2,0,nan
2,0,nan
1,1,12.0
1,1,-16.0
2,0,nan
1,1,-4.0
1,1,-32.0
