grip requested,grip performed,grip timing
1,1,-12.0
1,1,-68.0
1,1,-56.0
2,0,nan
1,1,-146.0
2,0,nan
1,1,-134.0
2,0,nan
2,0,nan
1,1,-150.0
1,1,-76.0
1,1,32.0
2,0,nan
2,0,nan
1,1,-120.0
1,1,-148.0
2,0,nan
2,1,-170.0
3,0,nan
2,0,nan
1,1,-186.0
3,0,nan
2,0,nan
1,1,-161.0
1,1,-149.0
2,1,67.0
2,1,-97.0
2,0,nan
1,1,-16.0
1,1,-180.0
1,1,-134.0
1,1,-156.0
2,1,-150.0
1,1,-144.0
2,0,nan
1,1,-166.0
2,1,44.0
2,0,nan
1,1,-182.0
1,1,-142.0
2,0,nan
1,1,-198.0
1,1,-124.0
