grip requested,grip performed,grip timing
1,2,-108.0
1,2,-8.0
1,2,-81.0
2,1,-116.0
1,2,-165.0
2,2,-131.0
1,2,-133.0
2,2,-35.0
2,1,-105.0
1,2,-108.0
1,2,-15.0
1,2,93.0
2,2,-186.0
2,2,24.0
1,1,-79.0
1,2,22.0
2,2,-86.0
2,2,-88.0
3,0,nan
2,1,-67.0
1,1,-108.0
3,0,nan
2,2,-37.0
1,2,-184.0
1,1,-47.0
2,2,-21.0
2,2,-55.0
2,2,-15.0
1,2,-185.0
1,2,-148.0
1,2,-120.0
1,2,-59.0
2,2,-99.0
1,2,-205.0
2,1,-102.0
1,1,-31.0
2,2,-103.0
2,2,-106.0
1,2,-6.0
1,2,-114.0
2,1,-43.0
1,2,-76.0
1,1,-185.0
