grip requested,grip performed,grip timing
1,2,-185.0
1,2,-81.0
1,1,-6.0
2,2,-75.0
1,2,-106.0
2,2,-96.0
1,0,nan
2,2,-42.0
2,2,-40.0
1,1,130.0
1,2,-152.0
1,1,-156.0
2,2,-91.0
2,2,-54.0
1,0,nan
1,0,nan
2,2,-113.0
2,1,-45.0
3,0,nan
2,2,-35.0
1,2,-174.0
3,0,nan
2,2,16.0
1,2,-86.0
1,2,-160.0
2,2,-55.0
2,2,-57.0
2,2,-95.0
1,1,-95.0
1,2,-201.0
1,1,-97.0
1,2,-131.0
2,2,-38.0
1,0,nan
2,2,-77.0
1,2,-180.0
2,2,-122.0
2,2,-88.0
1,2,-192.0
1,1,-129.0
2,2,-162.0
1,2,-67.0
1,2,-71.0
