grip requested,grip performed,grip timing
1,1,-25.0
1,1,-251.0
1,1,-171.0
2,1,-63.0
1,1,-91.0
2,0,nan
1,1,23.0
2,1,199.0
2,0,nan
1,1,-265.0
1,1,-157.0
1,1,-83.0
2,0,nan
2,0,nan
1,1,-235.0
1,1,-25.0
2,0,nan
2,1,-149.0
3,0,nan
2,0,nan
1,1,5.0
3,1,-119.0
2,1,-181.0
1,1,-141.0
1,1,-95.0
2,0,nan
2,0,nan
2,0,nan
1,1,-235.0
1,1,-195.0
1,1,-183.0
1,1,-103.0
2,0,nan
1,1,-227.0
2,0,nan
1,1,-147.0
2,0,nan
2,0,nan
1,1,-197.0
1,1,-191.0
2,0,nan
1,1,-213.0
1,1,-139.0
