grip requested,grip performed,grip timing
1,1,-57.0
1,1,-79.0
1,1,-101.0
2,2,-163.0
1,1,-123.0
2,2,-150.0
1,1,-144.0
2,2,-70.0
2,2,-166.0
1,1,-92.0
1,1,-188.0
1,1,-148.0
2,2,-142.0
2,2,-102.0
1,1,-96.0
1,1,-158.0
2,2,-84.0
2,2,-112.0
3,0,nan
2,2,-134.0
1,1,-26.0
3,0,nan
2,2,-110.0
1,1,32.0
1,1,-160.0
2,2,56.0
2,2,-142.0
2,2,-102.0
1,1,-130.0
1,1,-158.0
1,1,-44.0
1,1,-66.0
2,2,-128.0
1,1,-20.0
2,2,-116.0
1,0,nan
2,2,-138.0
2,2,-98.0
1,1,-126.0
1,1,-154.0
2,2,-148.0
1,1,-74.0
1,1,-170.0
