grip requested,grip performed,grip timing
1,1,-97.0
1,1,-85.0
1,1,-73.0
2,2,-135.0
1,1,-95.0
2,2,-191.0
1,1,-83.0
2,2,-145.0
2,2,-105.0
1,1,-132.0
1,1,-126.0
1,1,-120.0
2,2,-182.0
2,2,-74.0
1,1,-136.0
1,1,-164.0
2,2,12.0
2,2,-84.0
3,0,nan
2,2,-106.0
1,1,-134.0
3,2,-20.0
2,2,-116.0
1,1,-76.0
1,1,-98.0
2,2,-188.0
2,2,-79.0
2,2,-107.0
1,1,-101.0
1,1,-95.0
1,1,-49.0
1,1,-105.0
2,2,-65.0
1,1,-59.0
2,2,-155.0
1,1,-115.0
2,2,-75.0
2,2,-137.0
1,1,-131.0
1,1,-91.0
2,2,-85.0
1,0,nan
1,1,-73.0
