grip requested,grip performed,grip timing
1,1,-84.0
1,1,-72.0
1,1,-128.0
2,0,nan
1,1,-184.0
2,0,nan
1,1,-138.0
2,0,nan
2,2,-194.0
1,1,-86.0
1,1,-182.0
1,1,-142.0
2,2,-102.0
2,2,-232.0
1,1,-191.0
1,0,nan
2,0,nan
2,2,-3.0
3,0,nan
2,2,43.0
1,1,-53.0
3,0,nan
2,0,nan
1,1,-63.0
1,1,-51.0
2,0,nan
2,2,-271.0
2,2,-95.0
1,1,-89.0
1,1,-151.0
1,1,99.0
1,1,43.0
2,0,nan
1,1,-183.0
2,0,nan
1,1,-205.0
2,0,nan
2,0,nan
1,1,-221.0
1,1,-147.0
2,2,-107.0
1,1,-169.0
1,1,7.0
