grip requested,grip performed,grip timing
1,1,-55.0
1,1,-77.0
1,1,-132.0
2,2,78.0
1,1,16.0
2,2,90.0
1,1,-74.0
2,0,nan
2,2,-130.0
1,1,-56.0
1,1,-84.0
1,1,-78.0
2,2,-72.0
2,2,-66.0
1,1,8.0
1,1,-156.0
2,0,nan
2,2,-76.0
3,0,nan
2,2,-64.0
1,1,-160.0
3,3,-12.0
2,0,nan
1,1,-34.0
1,1,-123.0
2,0,nan
2,2,-3.0
2,2,-99.0
1,1,-59.0
1,1,-87.0
1,1,163.0
1,1,-63.0
2,0,nan
1,1,-119.0
2,2,-181.0
1,1,-141.0
2,2,-203.0
2,2,-95.0
1,1,-89.0
1,1,-185.0
2,2,59.0
1,0,nan
1,1,-65.0
