grip requested,grip performed,grip timing
1,1,-67.0
1,1,-157.0
1,1,-77.0
2,0,nan
1,1,-235.0
2,2,-93.0
1,1,-223.0
2,0,nan
2,2,-143.0
1,1,-205.0
1,1,-63.0
1,1,-329.0
2,0,nan
2,2,-214.0
1,1,-140.0
1,1,-134.0
2,2,-128.0
2,2,-54.0
3,3,-48.0
2,2,60.0
1,1,-36.0
3,3,-24.0
2,2,50.0
1,1,-216.0
1,1,-102.0
2,0,nan
2,2,-186.0
2,2,-112.0
1,1,-208.0
1,1,-134.0
1,0,nan
1,1,-42.0
2,0,nan
1,1,4.0
2,2,10.0
1,1,-154.0
2,2,-216.0
2,2,-210.0
1,1,-306.0
1,1,-96.0
2,2,-56.0
1,1,-16.0
1,1,-44.0
