grip requested,grip performed,grip timing
1,1,-16.0
1,1,64.0
1,1,8.0
2,0,nan
1,1,54.0
2,2,-110.0
1,1,-36.0
2,2,-98.0
2,2,-126.0
1,1,-154.0
1,1,-46.0
1,1,-6.0
2,2,-136.0
2,2,-28.0
1,1,-56.0
1,1,-50.0
2,2,-78.0
2,2,-72.0
3,3,-66.0
2,2,-60.0
1,1,-258.0
3,3,-76.0
2,2,-206.0
1,1,38.0
1,1,-120.0
2,2,-108.0
2,2,-136.0
2,2,-164.0
1,1,-124.0
1,1,-186.0
1,1,-140.0
1,1,-128.0
2,0,nan
1,1,-82.0
2,0,nan
1,1,-341.0
2,2,-165.0
2,2,-193.0
1,1,-187.0
1,1,-113.0
2,2,-107.0
1,1,-135.0
1,1,-163.0
