grip requested,grip performed,grip timing
1,1,-23.0
1,1,-283.0
1,1,103.0
2,2,-61.0
1,1,-225.0
2,2,-117.0
1,1,-179.0
2,2,-207.0
2,2,-99.0
1,1,-127.0
1,1,-121.0
1,1,-183.0
2,2,-142.0
2,2,-136.0
1,1,-198.0
1,1,-124.0
2,2,-322.0
2,2,-78.0
3,0,nan
2,2,-32.0
1,1,42.0
3,3,-14.0
2,2,-42.0
1,1,-104.0
1,1,-58.0
2,2,-114.0
2,2,-108.0
2,2,-68.0
1,1,-96.0
1,1,-124.0
1,1,-180.0
1,1,-100.0
2,2,-94.0
1,1,-20.0
2,2,-150.0
1,1,-41.0
2,2,-137.0
2,2,-301.0
1,1,-91.0
1,1,-153.0
2,2,-113.0
1,1,-141.0
1,0,nan
