grip requested,grip performed,grip timing
1,1,-24.0
1,1,124.0
1,1,0.0
2,2,-62.0
1,1,-90.0
2,2,-84.0
1,1,-146.0
2,2,-72.0
2,2,-32.0
1,1,-128.0
1,0,nan
1,1,-14.0
2,2,-8.0
2,2,-36.0
1,1,-302.0
1,1,-58.0
2,2,-86.0
2,2,-182.0
3,3,28.0
2,2,-68.0
1,1,-164.0
3,0,nan
2,2,-112.0
1,1,-4.0
1,1,8.0
2,2,54.0
2,2,-144.0
2,2,-104.0
1,1,-132.0
1,1,10.0
1,1,56.0
1,1,34.0
2,2,-62.0
1,1,-90.0
2,2,18.0
1,1,-44.0
2,2,-72.0
2,2,-134.0
1,1,-60.0
1,1,14.0
2,2,-116.0
1,1,-178.0
1,0,nan
