grip requested,grip performed,grip timing
1,1,-326.0
1,1,-144.0
1,1,-98.0
2,0,nan
1,1,-358.0
2,0,nan
1,1,-210.0
2,2,-170.0
2,2,-198.0
1,1,-124.0
1,1,-152.0
1,1,-248.0
2,2,-174.0
2,2,-304.0
1,1,-94.0
1,1,-190.0
2,2,-82.0
2,2,-280.0
3,3,-138.0
2,2,-64.0
1,1,-228.0
3,3,-46.0
2,2,-142.0
1,1,-170.0
1,1,-56.0
2,2,-180.0
2,2,-174.0
2,2,-66.0
1,1,76.0
1,1,-122.0
1,1,-42.0
1,1,-30.0
2,2,-58.0
1,1,-120.0
2,2,-80.0
1,1,-176.0
2,2,68.0
2,2,-28.0
1,1,-56.0
1,1,-50.0
2,2,-146.0
1,1,-174.0
1,1,-168.0
