grip requested,grip performed,grip timing
1,1,-86.0
1,1,-108.0
1,1,-96.0
2,2,148.0
1,1,-118.0
2,2,-112.0
1,1,200.0
2,2,138.0
2,2,-196.0
1,1,-88.0
1,0,nan
1,1,-110.0
2,2,-104.0
2,2,-166.0
1,1,10.0
1,1,-18.0
2,2,-182.0
2,2,-40.0
3,3,-170.0
2,2,-130.0
1,1,-294.0
3,0,nan
2,2,-174.0
1,1,-134.0
1,1,-54.0
2,2,-110.0
2,2,-104.0
2,2,-199.0
1,1,-159.0
1,1,-17.0
1,1,-39.0
1,1,-129.0
2,2,-123.0
1,1,19.0
2,2,-9.0
1,1,65.0
2,2,-31.0
2,2,-25.0
1,0,nan
1,1,-81.0
2,2,-75.0
1,1,-1.0
1,1,-29.0
