grip requested,grip performed,grip timing
1,1,-188.0
1,0,nan
1,0,nan
2,2,-327.0
1,1,-185.0
2,2,-349.0
1,1,-37.0
2,0,nan
2,0,nan
1,1,-291.0
1,1,-183.0
1,1,-75.0
2,2,-239.0
2,2,209.0
1,1,-57.0
1,0,nan
2,2,-113.0
2,2,64.0
3,3,-100.0
2,2,-25.0
1,1,-223.0
3,3,95.0
2,2,-137.0
1,0,nan
1,1,-153.0
2,2,-141.0
2,0,nan
2,2,-333.0
1,1,-123.0
1,0,nan
1,1,-139.0
1,0,nan
2,2,-87.0
1,1,-47.0
2,2,-177.0
1,1,-205.0
2,2,-29.0
2,2,-261.0
1,1,51.0
1,1,-11.0
2,2,-141.0
1,1,1.0
1,1,-163.0
