grip requested,grip performed,grip timing
1,1,-197.0
1,1,-116.0
1,1,-238.0
2,2,-96.0
1,1,-192.0
2,2,-186.0
1,1,-112.0
2,2,-37.0
2,2,-99.0
1,1,-195.0
1,1,151.0
1,1,-115.0
2,0,nan
2,2,-35.0
1,0,nan
1,1,113.0
2,0,nan
2,0,nan
3,0,nan
2,2,-203.0
1,1,-163.0
3,3,189.0
2,2,-247.0
1,1,65.0
1,1,-93.0
2,0,nan
2,0,nan
2,2,-205.0
1,1,141.0
1,0,nan
1,1,-181.0
1,1,-101.0
2,2,-197.0
1,1,-123.0
2,2,121.0
1,1,195.0
2,0,nan
2,0,nan
1,1,-127.0
1,1,83.0
2,0,nan
1,1,163.0
1,1,-205.0
