grip requested,grip performed,grip timing
1,0,nan
1,1,123.0
1,0,nan
2,2,-29.0
1,1,45.0
2,2,-17.0
1,0,nan
2,2,-107.0
2,2,-101.0
1,1,-61.0
1,1,183.0
1,1,-117.0
2,2,161.0
2,2,-138.0
1,1,-98.0
1,1,-126.0
2,2,-222.0
2,2,-148.0
3,3,-243.0
2,2,137.0
1,1,-61.0
3,3,-83.0
2,2,-145.0
1,1,-71.0
1,0,nan
2,2,21.0
2,2,-75.0
2,2,-103.0
1,0,nan
1,1,-57.0
1,0,nan
1,0,nan
2,2,-196.0
1,1,-190.0
2,2,-48.0
1,1,-246.0
2,2,-342.0
2,0,nan
1,1,-91.0
1,1,85.0
2,2,23.0
1,1,63.0
1,1,1.0
