grip requested,grip performed,grip timing
1,1,8.0
1,1,-286.0
1,1,-70.0
2,0,nan
1,0,nan
2,2,-86.0
1,1,-182.0
2,0,nan
2,0,nan
1,1,210.0
1,1,12.0
1,0,nan
2,2,92.0
2,2,-207.0
1,1,3.0
1,1,-263.0
2,2,-53.0
2,2,-47.0
3,3,-75.0
2,2,-137.0
1,1,-233.0
3,3,-357.0
2,2,-181.0
1,1,-209.0
1,1,-163.0
2,0,nan
2,2,-43.0
2,2,-105.0
1,1,-133.0
1,1,-127.0
1,1,-81.0
1,1,-341.0
2,0,nan
1,1,-91.0
2,2,-119.0
1,1,-79.0
2,0,nan
2,2,-305.0
1,1,-197.0
1,0,nan
2,2,-150.0
1,1,-246.0
1,1,66.0
