grip requested,grip performed,grip timing
1,1,-101.0
1,1,-352.0
1,1,-244.0
2,2,-2.0
1,1,-46.0
2,2,-244.0
1,1,-102.0
2,2,-43.0
2,0,nan
1,1,-259.0
1,1,-83.0
1,1,93.0
2,2,-207.0
2,2,-123.0
1,1,-174.0
1,1,31.0
2,2,-93.0
2,2,30.0
3,3,-120.0
2,2,-130.0
1,1,-90.0
3,3,-316.0
2,2,-208.0
1,1,-202.0
1,1,-118.0
2,2,-95.0
2,2,-123.0
2,2,-115.0
1,1,206.0
1,1,160.0
1,0,nan
1,1,5.0
2,2,161.0
1,0,nan
2,2,-4.0
1,1,5.0
2,2,-83.0
2,2,-38.0
1,1,-19.0
1,1,21.0
2,2,27.0
1,1,100.0
1,0,nan
