grip requested,grip performed,grip timing
1,1,-68.0
1,1,46.0
1,1,-41.0
2,1,135.0
1,1,209.0
2,2,-159.0
1,1,-255.0
2,2,-283.0
2,2,-5.0
1,1,-66.0
1,1,-128.0
1,1,48.0
2,0,nan
2,2,-178.0
1,1,66.0
1,1,38.0
2,2,-228.0
2,2,152.0
3,0,nan
2,2,-107.0
1,1,-167.0
3,0,nan
2,1,-81.0
1,1,61.0
1,0,nan
2,2,-17.0
2,2,-317.0
2,2,-5.0
1,1,-101.0
1,1,-163.0
1,1,-15.0
1,1,135.0
2,2,39.0
1,1,-193.0
2,2,-153.0
1,1,91.0
2,2,-209.0
2,1,-203.0
1,0,nan
1,1,-157.0
2,1,-83.0
1,1,-145.0
1,1,-139.0
