grip requested,grip performed,grip timing
1,1,-102.0
1,1,-158.0
1,1,-9.0
2,2,-71.0
1,1,-65.0
2,2,-127.0
1,1,49.0
2,2,191.0
2,2,197.0
1,1,-170.0
1,1,-96.0
1,1,-192.0
2,2,-118.0
2,2,-78.0
1,1,-208.0
1,1,-134.0
2,2,-128.0
2,2,-88.0
3,0,nan
2,2,-110.0
1,1,-104.0
3,0,nan
2,2,-117.0
1,1,-179.0
1,2,140.0
2,2,-86.0
2,2,-182.0
2,2,-173.0
1,1,-31.0
1,1,-59.0
1,1,-215.0
1,1,172.0
2,0,nan
1,1,184.0
2,2,190.0
1,1,-76.0
2,2,-36.0
2,2,-166.0
1,1,-24.0
1,1,-188.0
2,2,-148.0
1,1,-73.0
1,1,-135.0
