grip requested,grip performed,grip timing
1,1,-23.0
1,1,-147.0
1,1,-67.0
2,2,-231.0
1,1,-21.0
2,2,-15.0
1,0,nan
2,2,-206.0
2,2,-166.0
1,1,-194.0
1,1,-188.0
1,1,-12.0
2,2,28.0
2,1,136.0
1,1,-164.0
1,1,-56.0
2,2,-50.0
2,2,-44.0
3,0,nan
2,2,-100.0
1,1,-196.0
3,0,nan
2,2,-42.0
1,1,-138.0
1,1,79.0
2,2,-11.0
2,2,-39.0
2,2,69.0
1,1,7.0
1,1,81.0
1,1,-43.0
1,1,105.0
2,0,nan
1,1,-87.0
2,2,55.0
1,1,-41.0
2,2,101.0
2,0,nan
1,1,11.0
1,1,-51.0
2,2,23.0
1,1,-5.0
1,1,35.0
