grip requested,grip performed,grip timing
1,1,-172.0
1,1,-126.0
1,1,193.0
2,2,-73.0
1,1,171.0
2,1,42.0
1,1,-54.0
2,2,-116.0
2,2,-144.0
1,1,-206.0
1,0,nan
1,1,78.0
2,2,16.0
2,2,-11.0
1,1,-277.0
1,1,137.0
2,2,7.0
2,2,-55.0
3,0,nan
2,2,25.0
1,1,-71.0
3,2,9.0
2,2,83.0
1,1,-217.0
1,1,-1.0
2,0,nan
2,2,-153.0
2,2,-147.0
1,1,-5.0
1,1,-203.0
1,1,-225.0
1,1,-179.0
2,2,-37.0
1,1,-133.0
2,2,-127.0
1,1,-325.0
2,2,-183.0
2,2,27.0
1,1,-137.0
1,0,nan
2,2,-23.0
1,1,-153.0
1,1,-45.0
