grip requested,grip performed,grip timing
1,1,-27.0
1,1,-117.0
1,1,-207.0
2,1,-167.0
1,0,nan
2,2,-53.0
1,0,nan
2,2,-177.0
2,2,-137.0
1,1,73.0
1,1,-227.0
1,1,-187.0
2,2,-79.0
2,2,-277.0
1,1,205.0
1,1,-265.0
2,2,-55.0
2,2,-151.0
3,0,nan
2,2,-207.0
1,1,38.0
3,0,nan
2,2,192.0
1,1,-175.0
1,1,-129.0
2,2,-83.0
2,0,nan
2,2,-37.0
1,0,nan
1,1,-160.0
1,1,-46.0
1,0,nan
2,1,-130.0
1,0,nan
2,2,120.0
1,1,-78.0
2,2,64.0
2,2,-66.0
1,1,-94.0
1,1,-88.0
2,2,88.0
1,1,27.0
1,1,-103.0
