grip requested,grip performed,grip timing
1,1,-108.0
1,1,-28.0
1,1,-49.0
2,0,nan
1,1,-37.0
2,0,nan
1,1,-25.0
2,0,nan
2,0,nan
1,1,-7.0
1,0,nan
1,1,-301.0
2,0,nan
2,0,nan
1,1,-44.0
1,1,-72.0
2,0,nan
2,0,nan
3,0,nan
2,0,nan
1,1,-110.0
3,0,nan
2,0,nan
1,1,-52.0
1,1,-74.0
2,0,nan
2,0,nan
2,0,nan
1,1,-78.0
1,1,-72.0
1,1,-128.0
1,1,-184.0
2,0,nan
1,1,-70.0
2,0,nan
1,1,-126.0
2,0,nan
2,0,nan
1,1,-74.0
1,1,-136.0
2,0,nan
1,1,-124.0
1,1,-152.0
